State,County,Under5yrsPopulation_total ,Under5yrsPopulation_female,t5to17yrsPopulation_total,t5to17yrs_Female,t18to24yearsPopulation,t18to24yrs_Female,t25to34yrs_Population,t25to34years_Female,t35to44yrs_Population,t35to44yrs_Female,t45to64yrs_Population,t45to64yrs_Female,t65to84years_Population,t65to84yrs_Female,t85to99yrs_Population,t85to99yrs_Female,t100_years_and_Over_Population,t100yrs_and_over_Female
Kansas,Stevens County,351,173,1142,569,428,194,626,307,672,342,1195,600,684,352,149,88,3,3
Kansas,Sumner County,1297,625,4165,2051,1590,772,2340,1170,2600,1226,5863,2920,3951,2022,574,381,2,2
Kansas,Thomas County,524,258,1354,662,918,533,998,470,871,419,1844,935,1234,640,184,131,3,1
Kansas,Trego County,137,76,446,208,136,68,265,119,292,152,805,400,609,305,114,71,4,4
Kansas,Wabaunsee County,442,211,1239,565,529,258,619,297,709,354,1906,933,1272,627,157,102,4,1
Kansas,Wallace County,87,42,301,166,87,34,170,80,143,76,376,184,279,148,69,48,0,0
Kansas,Washington County,378,178,922,435,343,146,574,282,592,264,1419,685,1085,562,213,129,4,4
Kansas,Wichita County,168,72,410,201,144,67,267,141,232,100,508,227,368,178,53,41,2,2
Kansas,Wilson County,524,236,1495,759,553,256,883,457,965,476,2299,1164,1692,886,206,132,7,4
Kansas,Woodson County,161,79,502,246,195,90,307,159,341,154,861,410,650,339,98,46,0,0
Kansas,Wyandotte County,11960,5844,33713,16488,15537,7725,24707,12155,22645,11211,39122,19469,19218,10352,2310,1512,33,28
Kentucky,Adair County,1013,509,3029,1412,2318,1120,2014,1053,1954,979,5026,2575,3235,1675,313,199,1,0
Kentucky,Allen County,1278,622,3669,1798,1563,734,2412,1266,2335,1184,5758,2873,3287,1732,284,184,2,0
Kentucky,Anderson County,1412,676,4172,2002,1723,828,2728,1412,2759,1420,7038,3560,3677,1961,343,221,0,0
Kentucky,Ballard County,428,231,1183,556,609,297,758,369,906,469,2192,1102,1462,777,190,116,0,0
Kentucky,Barren County,2797,1401,7886,3875,3343,1670,5036,2548,5401,2783,11856,6093,7253,3962,909,619,4,4
Kentucky,Bath County,828,409,2419,1119,1057,545,1371,689,1451,739,3399,1701,1967,1040,258,175,0,0
Kentucky,Bell County,1317,659,3785,1870,2040,966,2785,1394,2888,1406,6653,3422,4191,2259,436,289,2,2
Kentucky,Boone County,8790,4231,27041,13282,11374,5419,16192,8062,18491,9347,35168,17795,17220,9399,1671,1095,21,12
Kentucky,Bourbon County,1204,572,3548,1670,1517,731,2294,1194,2295,1193,5588,2931,3456,1894,339,216,11,11
Kentucky,Boyd County,2492,1214,7786,3820,3335,1666,5564,2744,6150,2936,13387,6714,8488,4623,1044,712,15,14
Kentucky,Boyle County,1643,828,4645,2245,3293,1596,3601,1660,3591,1632,7908,3995,5244,2938,683,470,6,5
Kentucky,Bracken County,448,228,1592,742,598,269,873,455,1010,489,2387,1190,1364,705,128,79,0,0
Kentucky,Breathitt County,766,384,2279,1030,987,479,1501,775,1736,847,3944,2020,2300,1229,199,131,6,0
